,Fecha,Ubicacion,Operador,Ruta,Tipo Avion,Num Registro,cn / ln,Total Muertes en Suelo,Año,Total Abordo,Pasajeros abordo,Tripulación Abordo,Total Muertes,Muertes Pasajeros,Muertes Tripulacion,Tasa Mortalidad,Ciudad
2352,1968-05-03,"Near Dawson, Texas",Braniff Airlines,Houston - Dallas-Fort Worth,Lockheed L188A Electra,N9707C,1099,0,1968,85,80,5,85,80,5,1.0,Houston 
2353,1968-05-12,"Kham Duc, Vietnam",Military - U.S. Air Force,Kham Duc  - Saigon,Lockheed C-130B Hercules,60-0297,3600,0,1968,155,149,6,155,149,6,1.0,Kham Duc  
2355,1968-05-28,"Near Bombay, India",Garuda Indonesia Airlines,Jakarta - Bombay - Karachi - Cairo - Rome - Amsterdam,Convair CV-990-30A-5,PK-GJA,30-10-3,1,1968,29,15,14,29,15,14,1.0,Jakarta 
2356,1968-06-12,"Calcutta, India",Pan American World Airways,Bangkok - Karachi,Boeing B-707-321C,N798PA,18790/394,0,1968,63,53,10,6,5,1,0.09523809523809523,Bangkok 
2359,1968-06-28,"Vichy, Missouri",Purdue Airlines Inc.,"Kankakee,IL to Dallas, TX.",Douglas DC-3 (C-47-DL),N6898D,20082,0,1968,27,23,4,1,1,0,0.037037037037037035,"Kankakee,IL to Dallas, TX."
2360,1968-07-03,"London, England",BKS Air Transport,"Deauville, France - London, England",Airspeed AS.57 Ambassador 2,G-AMAD,5211,0,1968,8,5,3,6,3,3,0.75,"Deauville, France "
2362,1968-07-13,"Near Lagos, Nigeria",Sabena,Brussels - Lagos,Boeing 707-329C,OO-SJK,19211/518,0,1968,7,2,5,7,2,5,1.0,Brussels 
2363,1968-07-15,"Gravata, Brazil",Varig,São Paulo - Recife,Curtiss C-46C,PP-VBJ,33481,0,1968,3,0,3,3,0,3,1.0,São Paulo 
2365,1968-08-02,"Near Milan, Italy",Alitalia,Rome - Milan - Montreal,McDonnell Douglas DC-8,I-DIWF,45630,0,1968,95,85,10,13,13,0,0.1368421052631579,Rome 
2367,1968-08-09,"Pfaffenhofen, Germany",British Eagle International Airlines,London - Innsbruck,Vickers Viscount 739A,G-ATFN,394,0,1968,48,44,4,48,44,4,1.0,London 
2368,1968-08-10,"Charleston, West Virginia",Piedmont Airlines,"Cincinnati - Charleston, WV",Fairchild-Hiller FH-227B,N712U,557,0,1968,37,34,3,35,32,3,0.9459459459459459,Cincinnati 
2370,1968-08-18,"Off Port Said, Egypt",United Arab Airlines,Cairo - Damascus,Antonov AN-24V,SU-AOL,67302806,0,1968,40,33,7,40,33,7,1.0,Cairo 
2371,1968-08-20,"Near Maturin, Venezuela",Linea Aeropostal Venezolana,Maturín - Tucupita,Hawker Siddeley HS-748-215-2,YV-C-AMY,1580,0,1968,7,4,3,4,2,2,0.5714285714285714,Maturín 
2373,1968-09-03,"Near Burgas, Bulgaria",Bulair TABSO,Berlin - Sofia - Burgas,Ilyushin IL-18,LZ-BEG,187009101,0,1968,89,82,7,47,42,5,0.5280898876404494,Berlin 
2374,1968-09-06,"Bradore Bay, Quebec, Canada",Northern Wings,Riviere St-Paul - Lourdes-de-Blanc-Sablon,De Havilland DHC-3 Otter,CF-RNP,164,0,1968,9,7,2,9,7,2,1.0,Riviere St
2376,1968-09-11,"Off Cap d'Antibes, France",Air France,Ajaccio - Nice,Sud-Aviation Caravelle 3,F-BOHB,244,0,1968,95,89,6,95,89,6,1.0,Ajaccio 
2377,1968-09-20,"Farnsborough, England",Marine Nationale,Farnborough - Farnborough,Breguet Bre 1150 Atllantic,43/F-XCVX,43,1,1968,5,0,5,5,0,5,1.0,Farnborough 
2378,1968-09-28,"Port Harcourt, Biafra, Nigeria",Pan African Airlines,Lagos - Port Harcourt,Douglas C-54B,N90427,10445,1,1968,57,55,2,57,55,2,1.0,Lagos 
2379,1968-10-08,"Puerto Cortes, Costa Rica",Aerovias del Valle,San José - Paso Canoas,Britten-Norman BN-2 Islander,TI-1063C,14,0,1968,10,9,1,10,9,1,1.0,San José 
2380,1968-10-11,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Praha - Kosice,Avia 14-40,OK-MCY,805120,0,1968,40,36,4,11,8,3,0.275,Praha 
2382,1968-10-21,"Near Ban Me Thuot, South Vietnam",Military - U.S. Air Force,Saigon - Da Nang,Douglas C-47D,450934,16937/34196,0,1968,23,12,11,23,12,11,1.0,Saigon 
2383,1968-10-25,"Hanover, New Hampshire",Northeast Airlines,"Boston, MA - Montpelier, VT - Lebanon, NH",Fairchild-Hiller FH227C,N380NE,517,0,1968,42,39,3,32,30,2,0.7619047619047619,"Boston, MA "
2384,1968-11-22,"Off San Francisco, California",Japan Air Lines,Tokyo - San Francisco,McDonnell Douglas DC-8-62,JA8032,45954/362,0,1968,107,96,11,0,0,0,0.0,Tokyo 
2385,1968-11-23,"Santa Ana, California",Cable Commuter,Los Angeles - Santa Ana,de Havilland Canada DHC-6 Twin Otter 200,N7666,148,0,1968,9,7,2,9,7,2,1.0,Los Angeles 
2386,1968-11-25,"Savannakhet, Laos",Air America,Savannakhét - Vientiane,Curtiss C-46D-20-CU,N1386N,22265,0,1968,28,25,3,26,23,3,0.9285714285714286,Savannakhét 
2387,1968-12-02,"Pedro Bay, Alaska",Wien Consolidated Airlines,Anchorage - Iliamna,Fairchild F-27B,N4905,0049,0,1968,39,36,3,39,36,3,1.0,Anchorage 
2388,1968-12-06,"Charlotte Amalie, St. Thomas, US Virgin Islands",Conquest Airways,Charlotte Amalie - San Juan,Beechcraft E18,N433AC,BA-284,4,1968,11,10,1,3,2,1,0.2727272727272727,Charlotte Amalie 
2389,1968-12-12,"Near Caracas, Venezuela",Pan American World Airways,New York City - Caracas,Boeing B-707-321B,N494PA,19696/688,0,1968,51,42,9,51,42,9,1.0,New York City 
2390,1968-12-24,"Bradford, Pennsylvania",Allegheny Airlines,Detroit - Erie - Bradford - Harrisburg - Washington DC,Convair CV-580,N5802,410,0,1968,47,41,6,20,17,3,0.425531914893617,Detroit 
2391,1968-12-24,"Prudhoe Bay, Alaska",Interior Airways,Fairbanks - Prudhoe Bay,Lockheed L-100 Hercules,N760AL,4229,0,1968,4,0,4,2,0,2,0.5,Fairbanks 
2393,1968-12-26,"Athens, Greece",El Al Israel Airlines,Athens - Paris,Boeing 707-358B,4X-ATR,19004/459,0,1968,51,43,10,1,1,0,0.0196078431372549,Athens 
2395,1968-12-27,"Chicago, Illinois",North Central Airlines,Minneapolis - Chicago - Milwaukee,Convair CV-580,N2045,369,1,1968,45,41,4,27,24,3,0.6,Minneapolis 
2396,1968-12-31,"Near Ciudad Victoria, Mexico",Servicios Aéreos Especiales,Reynosa - Tampico,Douglas DC-3,XA-SAE,20554,0,1968,26,22,4,26,22,4,1.0,Reynosa 
2397,1968-12-31,"Port Hedland, WA, Australia",MacRobertson Miller Airlines,Perth - Port Hedland,Vickers Viscount 720,VH-RMQ,045,0,1968,26,21,5,26,21,5,1.0,Perth 
2399,1969-01-02,"Mt. Paku, Taiwan",China Airlines (Taiwan),Kaohsiung - Hualien,Douglas DC-3D,B-309,12541,0,1969,24,19,5,24,19,5,1.0,Kaohsiung 
2400,1969-01-05,"Gatwick Airport, Horley, Surrey,  England",Ariana Afghan Airlines,Frankfurt - London,Boeing B-727-113C,YA-FAR,19690/540,2,1969,62,54,8,48,43,5,0.7741935483870968,Frankfurt 
2401,1969-01-06,"Near Bradford, Pennsylvania",Allegheny Airlines,Washington - Harrisburgh - Bradford - Erie - Detroit,Convair CV-580,N5825,386,0,1969,28,25,3,11,9,2,0.39285714285714285,Washington 
2402,1969-01-13,"Off Los Angeles, California",Scandinavian Airlines (SAS),Copenhagen - Seattle - Los Angeles,McDonnell Douglas DC-8-62,LN-MOO,45822/272,0,1969,45,36,9,15,12,3,0.3333333333333333,Copenhagen 
2403,1969-01-14,"Near Pearl Harbor, Hawaii",Military US Navy,-,McDonnel Douglas F-4J Phantom II,-,-,28,1969,0,0,0,0,0,0,,
